Id,Designator,Package,Quantity,Designation,Supplier and ref,Column1,_1
1,"TP3,TP3,TP2,TP1",TestPoint_THTPad_D2.5mm_Drill1.2mm,4,TestPoint,,,
2,TP4,TestPoint_Pad_D1.0mm,1,TestPoint,,,
3,"J1,J2",PinSocket_1x08_P2.54mm_Vertical,2,Conn_01x08_Female,,,
4,U2,SOT-23-6,1,TPL5111,,,
5,U1,SON50P300X400X100-15N-D,1,TPS63020DSJR,,,
6,RV1,Potentiometer_Bourns_TC33X_Vertical,1,200K,,,
7,"R5,R4",R_0805_2012Metric,2,10K,,,
8,R3,R_0805_2012Metric,1,180k±1%,,,
9,R2,R_0805_2012Metric,1,604K±1%,,,
10,R1,R_0805_2012Metric,1,1M±0.1%,,,
11,L1,L_Taiyo-Yuden_NR-30xx,1,1u,,,
12,JP4,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,SolderJumper_2_Bridged,,,
13,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,ESP32 ADC,,,
14,JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Wemos Sleep,,,
15,JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Wemos ADC,,,
16,"C7,C3",C_0805_2012Metric,2,100n,,,
17,"C6,C5,C4,C2,C1",C_0805_2012Metric,5,10u,,,
